Date,City_Country,State,Country,Latitude,Longitude,Tour,Encores_Count,Set_Length,Kill_Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,1 Track,2 Track,3 Track,4 Track,5 Track,6 Track,7 Track,8 Track,9 Track,10 Track,11 Track,12 Track,13 Track,14 Track,15 Track,16 Track,17 Track,18 Track,19 Track,20 Track,21 Track,22 Track,Last_track_Set,1 Encore,2 Encore,3 Encore,4 Encore,Last_track_Encore
20.10.2018,State College,Pennsylvania,United States,40.7933949,-77.8600012,WorldWired,3,15,1,3,1,1,2,0,1,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Holier Than Thou,Fade to Black,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Halo On Fire,Hit the Lights,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,Enter Sandman
18.10.2018,Pittsburgh,Pennsylvania,United States,40.4406248,-79.9958864,WorldWired,3,15,1,2,2,1,3,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Wherever I May Roam,The Unforgiven,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Welcome Home (Sanitarium),Whiplash,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
16.10.2018,Milwaukee,Wisconsin,United States,43.0389025,-87.9064736,WorldWired,3,15,1,3,1,2,2,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,The Unforgiven,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Fade to Black,Motorbreath,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
13.10.2018,Austin,Texas,United States,30.267153,-97.7430608,WorldWired,3,12,0,2,1,1,3,0,1,0,0,0,4,Hardwired,Creeping Death,Wherever I May Roam,The Unforgiven,Now That Were Dead,For Whom the Bell Tolls,Halo On Fire,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,,,,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,Enter Sandman
06.10.2018,Austin,Texas,United States,30.267153,-97.7430608,WorldWired,3,13,0,3,2,1,1,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Creeping Death,Welcome Home (Sanitarium),Now That Were Dead,For Whom the Bell Tolls,Fade to Black,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,,,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,Enter Sandman
26.09.2018,San Francisco,California,United States,37.7749295,-122.4194155,,2,10,0,3,1,1,2,0,0,0,0,0,3,Hardwired,Creeping Death,For Whom the Bell Tolls,The Unforgiven,Now That Were Dead,Moth Into Flame,Fade to Black,Sad But True,One,Master of Puppets,,,,,,,,,,,,,Master of Puppets,Nothing Else Matters,Enter Sandman,,,Enter Sandman
15.09.2018,Saskatoon,Saskatchewan,Canada,52.1332144,-106.6700458,WorldWired,3,15,1,2,2,2,2,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Harvester of Sorrow,The Unforgiven,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Welcome Home (Sanitarium),Hit the Lights,The Memory Remains,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
13.09.2018,Winnipeg,Manitoba,Canada,49.895136,-97.1383744,WorldWired,3,15,1,3,1,1,2,0,1,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Wherever I May Roam,Fade to Black,Now That Were Dead,Creeping Death,For Whom the Bell Tolls,Halo On Fire,The Four Horsemen,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,Enter Sandman
11.09.2018,Sioux Falls,South Dakota,United States,43.5473028,-96.728333,WorldWired,3,15,1,3,1,1,3,0,1,0,0,0,4,Hardwired,"Atlas,Rise!",Seek and Destroy,Creeping Death,The Unforgiven,Now That Were Dead,Wherever I May Roam,For Whom the Bell Tolls,Fade to Black,Whiplash,Fuel,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Spit Out The Bone,Nothing Else Matters,Enter Sandman,,Enter Sandman
08.09.2018,Grand Forks,North Dakota,United States,47.9252568,-97.0328547,WorldWired,3,15,1,3,2,1,2,0,0,0,0,0,5,Hardwired,"Atlas,Rise!",Seek and Destroy,Ride the Lightning,The Unforgiven,Now That Were Dead,Dream No More,For Whom the Bell Tolls,Welcome Home (Sanitarium),Motorbreath,Creeping Death,Moth Into Flame,Sad But True,One,Master of Puppets,,,,,,,,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,Enter Sandman
